reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,Z,2500,ㄊㄨㄛ,2,BIAOKAI_W5|KAICHU_MD,2,2,2,N,
variant_gid,Z,2501,ㄒㄩㄣ,1,BIAOKAI_W5,2,1,1,N,
variant_gid,Z,2510,ㄑㄧ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,74,3,15,N,
variant_gid,Z,2516,ㄙㄨㄥ,1,KAICHU_MD,4,1,2,N,
variant_gid,Z,2517,ㄋㄧ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,5,3,3,N,
variant_gid,Z,2518,ㄇㄧ,1,YUAN_W7,1,1,1,N,
variant_gid,Z,2519,ㄊㄨㄟ,2,BIAOKAI_W5|KAICHU_MD,3,2,2,N,
variant_gid,Z,2521,ㄏㄨㄟ,1,KAICHU_MD,3,1,1,N,
variant_gid,Z,2531,ㄆㄟ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,8,4,8,N,
variant_gid,Z,2534,ㄓㄣ,1,KAICHU_MD,3,1,2,N,
variant_gid,Z,2539,ㄩㄢ,1,YUAN_W3W5,2,1,1,N,
variant_gid,Z,2540,ㄓㄣ,1,KAICHU_MD,4,1,2,N,
variant_gid,Z,2544,ㄔㄨ,3,BIAOKAI_W5|HEI_W5|KAICHU_MD,10,3,8,N,
variant_gid,Z,2547,ㄓ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2549,ㄇㄚ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2550,ㄍㄨ,2,KAICHU_MD|YUAN_W3W5,3,2,2,N,
variant_gid,Z,2551,ㄍㄠ,2,BIAOKAI_W5|KAICHU_MD,21,2,10,N,
variant_gid,Z,2555,ㄍㄢ,2,KAICHU_MD|YUAN_W3W5,3,2,2,N,
variant_gid,Z,2558,ㄊㄧㄥ,1,KAICHU_MD,4,1,3,N,
variant_gid,Z,2562,ㄗㄨㄛ,5,BIAOKAI_W5|HEI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5,55,5,17,N,
variant_gid,Z,2564,ㄐㄧㄢ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,29,4,8,N,
variant_gid,Z,2565,ㄡ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2569,ㄘㄜ,1,KAICHU_MD,6,1,1,N,
variant_gid,Z,2570,ㄊㄡ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2571,ㄆㄧㄢ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2581,ㄨ,2,KAICHU_MD|YUAN_W3W5,10,2,4,N,
variant_gid,Z,2583,ㄉㄨㄥ,5,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,110,6,17,N,
variant_gid,Z,2586,ㄔ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2588,ㄑㄩ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,30,4,8,N,
variant_gid,Z,2590,ㄘㄢ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,14,4,3,N,
variant_gid,Z,2592,ㄕㄤ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,5,3,2,N,
variant_gid,Z,2597,ㄈㄟ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2600,ㄔㄤ,2,BIAOKAI_W5|KAICHU_MD,2,2,2,N,
variant_gid,Z,2602,ㄨㄣ,5,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,26,5,7,N,
variant_gid,Z,2604,ㄨㄟ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2607,ㄕㄡ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2614,ㄑㄩㄢ,2,BIAOKAI_W5|KAICHU_MD,27,2,7,N,
variant_gid,Z,2615,ㄍㄨㄛ,1,KAICHU_MD,2,1,2,N,
variant_gid,Z,2617,ㄩ,2,BIAOKAI_W5|KAICHU_MD,5,2,4,N,
variant_gid,Z,2618,ㄐㄧㄢ,1,KAICHU_MD,2,1,2,N,
variant_gid,Z,2620,ㄉㄨㄟ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2623,ㄐㄧ,2,KAICHU_MD|YUAN_W3W5,2,2,2,N,
variant_gid,Z,2624,ㄊㄤ,2,BIAOKAI_W5|KAICHU_MD,8,2,2,N,
variant_gid,Z,2626,ㄓ,2,BIAOKAI_W5|KAICHU_MD,7,2,3,N,
variant_gid,Z,2628,ㄍㄡ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,3,3,2,N,
variant_gid,Z,2632,ㄨㄢ,1,HEI_W7,1,1,1,N,
variant_gid,Z,2639,ㄆㄛ,1,KAICHU_MD,13,1,2,N,
variant_gid,Z,2644,ㄐㄧ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2647,ㄇㄧ,1,KAICHU_MD,4,1,2,N,
variant_gid,Z,2649,ㄓㄨㄢ,3,BIAOKAI_W5|HEI_W7|KAICHU_MD,5,3,2,N,
variant_gid,Z,2650,ㄐㄧㄤ,2,BIAOKAI_W5|KAICHU_MD,29,2,7,N,
variant_gid,Z,2668,ㄔㄤ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,20,3,7,N,
variant_gid,Z,2669,ㄉㄞ,1,KAICHU_MD,5,1,3,N,
variant_gid,Z,2672,ㄎㄤ,2,KAICHU_MD|YUAN_W3W5,26,3,8,N,
variant_gid,Z,2677,ㄓㄤ,2,BIAOKAI_W5|KAICHU_MD,10,2,5,N,
variant_gid,Z,2678,ㄑㄧㄤ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,14,4,5,N,
variant_gid,Z,2681,ㄘㄞ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2683,ㄉㄜ,2,BIAOKAI_W5|KAICHU_MD,15,2,5,N,
variant_gid,Z,2685,ㄘㄨㄥ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W7,12,3,6,N,
variant_gid,Z,2691,ㄏㄨㄢ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,3,3,3,N,
variant_gid,Z,2699,ㄑㄧㄥ,5,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,47,6,9,N,
variant_gid,Z,2702,ㄒㄧ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2718,ㄊㄢ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2719,ㄐㄧㄝ,5,BIAOKAI_W5|HEI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,68,6,13,N,
variant_gid,Z,2720,ㄐㄧㄝ,1,KAICHU_MD,2,1,2,N,
variant_gid,Z,2726,ㄉㄧㄠ,1,BIAOKAI_W5,2,1,1,N,
variant_gid,Z,2730,ㄊㄨㄟ,1,KAICHU_MD,4,1,3,N,
variant_gid,Z,2734,ㄘㄞ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,6,3,2,N,
variant_gid,Z,2736,ㄆㄞ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,5,3,4,N,
variant_gid,Z,2745,ㄐㄧㄡ,2,BIAOKAI_W5|KAICHU_MD,7,2,3,N,
variant_gid,Z,2746,ㄐㄧㄠ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2747,ㄅㄞ,2,BIAOKAI_W5|YUAN_W7,4,2,1,N,
variant_gid,Z,2748,ㄑㄧ,1,HEI_W7,1,1,1,N,
variant_gid,Z,2749,ㄇㄧㄣ,2,KAICHU_MD|YUAN_W3W5,8,2,4,N,
